"rank","feature_id","mu","empirical_variance","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","combined_nb_support","abs_pc1_loading"
1,"214",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
2,"672",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
3,"986",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
4,"1110",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
5,"1473",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
6,"1576",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
7,"1579",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
8,"2563",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
9,"2598",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
10,"2665",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
11,"2674",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
12,"3136",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
13,"3258",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
14,"4090",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
15,"4124",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
16,"4233",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
17,"4319",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
18,"4363",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
19,"4646",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
20,"5250",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
21,"5880",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
22,"6002",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
23,"6467",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
24,"6473",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
25,"6569",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
26,"7324",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
27,"7942",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
28,"7955",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
29,"8382",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
30,"8595",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
31,"8739",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
32,"8841",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
33,"9058",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
34,"9593",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
35,"9695",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
36,"9936",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
37,"10008",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
38,"10194",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
39,"10343",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
40,"10879",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
41,"10937",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
42,"11109",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
43,"11309",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
44,"11317",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
45,"11500",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
46,"11527",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
47,"11538",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
48,"12443",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
49,"12931",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
50,"12952",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
51,"13454",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
52,"13530",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
53,"13538",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
54,"13558",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
55,"14431",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
56,"14660",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
57,"14858",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
58,"14901",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
59,"16124",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
60,"16178",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
61,"16359",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
62,"16502",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
63,"16970",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
64,"17197",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
65,"17239",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
66,"17576",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
67,"17636",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
68,"18338",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
69,"18341",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
70,"18645",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
71,"18754",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
72,"19238",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
73,"19850",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
74,"20628",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
75,"21011",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
76,"21872",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
77,"22083",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
78,"22259",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
79,"22472",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
80,"22537",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
81,"22698",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
82,"22831",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
83,"23056",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
84,"23465",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
85,"23536",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
86,"23640",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
87,"24206",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
88,"24659",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
89,"25351",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
90,"25448",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
91,"25459",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
92,"25496",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
93,"25630",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
94,"26297",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
95,"27115",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
96,"28187",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
97,"28759",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
98,"29101",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
99,"29207",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
100,"29290",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
101,"29542",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
102,"30561",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
103,"31087",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
104,"31146",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
105,"31291",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
106,"31432",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
107,"31451",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
108,"31538",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
109,"31689",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
110,"32804",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
111,"32961",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
112,"33076",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
113,"33218",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
114,"33490",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
115,"33592",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
116,"33631",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
117,"34752",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
118,"35804",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
119,"36308",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
120,"36445",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
121,"36590",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
122,"36617",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
123,"36914",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
124,"37300",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
125,"37354",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
126,"37616",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
127,"38230",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
128,"38893",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
129,"39353",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
130,"39359",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
131,"39788",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
132,"39796",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
133,"40007",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
134,"40151",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
135,"40318",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
136,"40554",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
137,"40599",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
138,"40603",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
139,"40841",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
140,"40877",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
141,"41100",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
142,"41545",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
143,"41750",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
144,"41792",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
145,"42123",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
146,"42137",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
147,"42185",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
148,"42356",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
149,"43619",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
150,"44033",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
151,"44156",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
152,"44662",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
153,"44798",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
154,"44928",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
155,"45945",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
156,"45958",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
157,"45979",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
158,"45995",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
159,"46126",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
160,"46602",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
161,"47036",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
162,"49200",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
163,"49550",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
164,"49779",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
165,"50175",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
166,"50282",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
167,"51766",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
168,"51791",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
169,"52172",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
170,"52285",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
171,"53096",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
172,"53311",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
173,"53725",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
174,"54469",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
175,"54923",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
176,"55627",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
177,"55979",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
178,"55993",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
179,"56078",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
180,"56169",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
181,"56215",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
182,"56547",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
183,"56768",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
184,"57412",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
185,"58526",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
186,"59369",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
187,"59516",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
188,"59575",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
189,"59667",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
