"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","nb_gap","log_alpha_mu"
"615","-",1,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"926","-",2,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"1110","Epm2a",3,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"3346","Adcy2",4,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"3458","LOC501406",5,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"4124","Rgs17",6,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"4233","Cnksr3",7,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"5250","Pde10a",8,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"5332","Pde10a",9,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"6683","Usp29",10,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"7592","Mzf1",11,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"7955","Fkrp",12,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"7995","Calm3",13,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"8035","Hif3a",14,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"8127","Ppm1n",15,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"8269","Apoc4",16,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"8739","Tmem91",17,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"8841","Epc2l1",18,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"9593","Sipa1l3",19,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"9936","Cox6b1",20,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"9942","Rbm42",21,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"10440","-",22,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"10794","LOC102548014",23,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"10879","LOC102555051",24,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"10937","Zfp17",25,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"11309","Prmt1",26,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"11317","Bcl2l12",27,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"11527","Snrnp70",28,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"11859","Tph1",29,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"12443","-",30,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"13454","LOC102551177",31,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"15944","Nr2f2",32,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"15997","-",33,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"16178","Chd2",34,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"16715","Det1",35,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"16970","Fes",36,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"17205","Homer2",37,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"17327","Adamtsl3",38,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"18087","Pcf11",39,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"18338","Aamdc",40,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"19175","-",41,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"19727","Dennd2b",42,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"19850","Dennd5a",43,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"20089","Eif4g2",44,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"20141","-",45,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"21107","Eri2",46,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"22275","Ccdc189",47,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"22547","Mcmbp",48,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"22831","-",49,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"22963","-",50,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"23810","LOC120097362",51,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"24944","Npas4",52,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"25448","Vps51",53,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"25630","Vegfb",54,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"26562","Lpxn",55,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"27376","Tjp2",56,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"27849","Plgrkt",57,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"27946","RGD1311595",58,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"29101","Sorbs1",59,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"29511","Exosc1",60,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"30158","Actr1a",61,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"31432","Hspa12a",62,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"31827","-",63,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
