[2026-05-21 15:56:53] Method-aligned SEQUENCE simulation started.
[2026-05-21 15:56:53] Repository root: /root/REAPER98632
[2026-05-21 15:56:53] Output directory: /root/REAPER98632/exports/manuscript_final_clean/simulation_validation
[2026-05-21 15:56:53] Simulation started: 320 planned runs
[2026-05-21 15:56:53] Simulation progress: 1/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=1 | timeout=240 sec | elapsed=4.21e-06 min | ETA=0.00134 min
[2026-05-21 15:57:01] Simulation progress: 2/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=2 | timeout=240 sec | elapsed=0.143 min | ETA=22.7 min
[2026-05-21 15:57:10] Simulation progress: 3/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=3 | timeout=240 sec | elapsed=0.283 min | ETA=29.9 min
[2026-05-21 15:57:17] Simulation progress: 4/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=4 | timeout=240 sec | elapsed=0.4 min | ETA=31.6 min
[2026-05-21 15:57:24] Simulation progress: 5/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=5 | timeout=240 sec | elapsed=0.523 min | ETA=32.9 min
[2026-05-21 15:57:31] Simulation progress: 6/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=6 | timeout=240 sec | elapsed=0.645 min | ETA=33.7 min
[2026-05-21 15:57:39] Simulation progress: 7/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=7 | timeout=240 sec | elapsed=0.765 min | ETA=34.2 min
[2026-05-21 15:57:45] Simulation progress: 8/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=8 | timeout=240 sec | elapsed=0.876 min | ETA=34.2 min
[2026-05-21 15:57:52] Simulation progress: 9/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=9 | timeout=240 sec | elapsed=0.995 min | ETA=34.4 min
[2026-05-21 15:57:59] Simulation progress: 10/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=10 | timeout=240 sec | elapsed=1.11 min | ETA=34.3 min
[2026-05-21 15:58:07] Simulation progress: 11/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=11 | timeout=240 sec | elapsed=1.24 min | ETA=34.8 min
[2026-05-21 15:58:13] Simulation progress: 12/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=12 | timeout=240 sec | elapsed=1.34 min | ETA=34.5 min
[2026-05-21 15:58:20] Simulation progress: 13/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=13 | timeout=240 sec | elapsed=1.45 min | ETA=34.2 min
[2026-05-21 15:58:26] Simulation progress: 14/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=14 | timeout=240 sec | elapsed=1.55 min | ETA=34 min
[2026-05-21 15:58:34] Simulation progress: 15/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=15 | timeout=240 sec | elapsed=1.68 min | ETA=34.2 min
[2026-05-21 15:58:41] Simulation progress: 16/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=16 | timeout=240 sec | elapsed=1.81 min | ETA=34.3 min
[2026-05-21 15:58:48] Simulation progress: 17/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=17 | timeout=240 sec | elapsed=1.92 min | ETA=34.2 min
[2026-05-21 15:58:54] Simulation progress: 18/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=18 | timeout=240 sec | elapsed=2.02 min | ETA=33.9 min
[2026-05-21 15:59:02] Simulation progress: 19/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=19 | timeout=240 sec | elapsed=2.15 min | ETA=34.1 min
[2026-05-21 15:59:09] Simulation progress: 20/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0 | rep=20 | timeout=240 sec | elapsed=2.28 min | ETA=34.2 min
[2026-05-21 15:59:17] Simulation progress: 21/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=1 | timeout=240 sec | elapsed=2.41 min | ETA=34.2 min
[2026-05-21 15:59:24] Simulation progress: 22/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=2 | timeout=240 sec | elapsed=2.53 min | ETA=34.3 min
[2026-05-21 15:59:31] Simulation progress: 23/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=3 | timeout=240 sec | elapsed=2.64 min | ETA=34.1 min
[2026-05-21 15:59:38] Simulation progress: 24/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=4 | timeout=240 sec | elapsed=2.75 min | ETA=34 min
[2026-05-21 15:59:46] Simulation progress: 25/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=5 | timeout=240 sec | elapsed=2.88 min | ETA=34 min
[2026-05-21 15:59:54] Simulation progress: 26/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=6 | timeout=240 sec | elapsed=3.03 min | ETA=34.3 min
[2026-05-21 16:00:05] Simulation progress: 27/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=7 | timeout=240 sec | elapsed=3.21 min | ETA=34.9 min
[2026-05-21 16:00:21] Simulation progress: 28/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=8 | timeout=240 sec | elapsed=3.47 min | ETA=36.2 min
[2026-05-21 16:00:34] Simulation progress: 29/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=9 | timeout=240 sec | elapsed=3.69 min | ETA=37 min
[2026-05-21 16:00:48] Simulation progress: 30/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=10 | timeout=240 sec | elapsed=3.92 min | ETA=37.9 min
[2026-05-21 16:01:00] Simulation progress: 31/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=11 | timeout=240 sec | elapsed=4.12 min | ETA=38.4 min
[2026-05-21 16:01:10] Simulation progress: 32/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=12 | timeout=240 sec | elapsed=4.29 min | ETA=38.6 min
[2026-05-21 16:01:20] Simulation progress: 33/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=13 | timeout=240 sec | elapsed=4.45 min | ETA=38.7 min
[2026-05-21 16:01:31] Simulation progress: 34/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=14 | timeout=240 sec | elapsed=4.63 min | ETA=39 min
[2026-05-21 16:01:41] Simulation progress: 35/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=15 | timeout=240 sec | elapsed=4.81 min | ETA=39.1 min
[2026-05-21 16:01:52] Simulation progress: 36/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=16 | timeout=240 sec | elapsed=4.99 min | ETA=39.4 min
[2026-05-21 16:02:03] Simulation progress: 37/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=17 | timeout=240 sec | elapsed=5.18 min | ETA=39.6 min
[2026-05-21 16:02:13] Simulation progress: 38/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=18 | timeout=240 sec | elapsed=5.34 min | ETA=39.6 min
[2026-05-21 16:02:23] Simulation progress: 39/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=19 | timeout=240 sec | elapsed=5.51 min | ETA=39.7 min
[2026-05-21 16:02:32] Simulation progress: 40/320 | profile=fixed | LFC=0.5 | DE=0.1 | null_inflation=0 | rep=20 | timeout=240 sec | elapsed=5.66 min | ETA=39.6 min
[2026-05-21 16:02:42] Simulation progress: 41/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=1 | timeout=240 sec | elapsed=5.83 min | ETA=39.6 min
[2026-05-21 16:02:53] Simulation progress: 42/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=2 | timeout=240 sec | elapsed=6 min | ETA=39.7 min
[2026-05-21 16:03:03] Simulation progress: 43/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=3 | timeout=240 sec | elapsed=6.17 min | ETA=39.7 min
[2026-05-21 16:03:12] Simulation progress: 44/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=4 | timeout=240 sec | elapsed=6.33 min | ETA=39.7 min
[2026-05-21 16:03:20] Simulation progress: 45/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=5 | timeout=240 sec | elapsed=6.46 min | ETA=39.5 min
[2026-05-21 16:03:29] Simulation progress: 46/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=6 | timeout=240 sec | elapsed=6.61 min | ETA=39.4 min
[2026-05-21 16:03:39] Simulation progress: 47/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=7 | timeout=240 sec | elapsed=6.78 min | ETA=39.4 min
[2026-05-21 16:03:49] Simulation progress: 48/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=8 | timeout=240 sec | elapsed=6.93 min | ETA=39.3 min
[2026-05-21 16:03:58] Simulation progress: 49/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=9 | timeout=240 sec | elapsed=7.09 min | ETA=39.2 min
[2026-05-21 16:04:08] Simulation progress: 50/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=10 | timeout=240 sec | elapsed=7.25 min | ETA=39.2 min
[2026-05-21 16:04:16] Simulation progress: 51/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=11 | timeout=240 sec | elapsed=7.39 min | ETA=39 min
[2026-05-21 16:04:25] Simulation progress: 52/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=12 | timeout=240 sec | elapsed=7.54 min | ETA=38.8 min
[2026-05-21 16:04:35] Simulation progress: 53/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=13 | timeout=240 sec | elapsed=7.71 min | ETA=38.8 min
